"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","returns all required keys when none are defined","test/src/config/env_keystore_test.dart","2026-04-01","passed","2026-04-01","missingRequired","EnvKeyStore","",""
"","34","auth change with non-minglit email does not save staff token","test/src/features/auth/ui/staff_guard_wrapper_test.dart","2026-04-01","passed","2026-04-01","","StaffGuardWrapper","",""
"","66","shows match success section when matches exist","test/src/features/event/matching/matching_vote_content_test.dart","2026-04-01","passed","2026-04-01","","MatchingVoteContent","",""
"","5","completes without error","test/src/data/repositories/party_repository_test.dart","2026-04-01","passed","2026-04-01","updateEventStatus","PartyRepository (events)","",""
"","4","throws MinglitUserException on error response","test/src/data/repositories/verification_command_repository_test.dart","2026-04-01","passed","2026-04-01","updateVerification","VerificationRepository (command)","",""
"","10","loads consents from repository","test/src/features/consent/logic/consent_controller_test.dart","2026-04-01","passed","2026-04-01","","ConsentController","",""
"","11","calls partner-manage-member EF with update_role action","test/src/data/repositories/partner_member_repository_test.dart","2026-04-01","passed","2026-04-01","updateMemberRole","PartnerMemberRepository","",""
"","3","throws on RPC error","test/src/data/repositories/event_repository_queries_test.dart","2026-04-01","passed","2026-04-01","getBulkEligibilityData","EventRepository Queries","",""
"","107","로그인 상태: from=//evil.com 은 홈으로 리다이렉트 (injection 방지)","test/integration/auth_redirect_test.dart","2026-04-01","passed","2026-04-01","","Auth Redirect Flow","",""
"","163","calls onChanged when text changes","test/src/ui/widgets/common/minglit_text_field_test.dart","2026-04-01","passed","2026-04-01","","MinglitTextField","",""
"","7","returns SettlementItemDetail with nested data","test/src/data/repositories/settlement_repository_test.dart","2026-04-01","passed","2026-04-01","getSettlementItemDetail","SettlementRepository","",""
"","641","renders placeholder when imageUrls is empty","test/ui/widgets/common/minglit_image_carousel_test.dart","2026-04-01","passed","2026-04-01","","MinglitImageCarousel Widget Tests","",""
"","6","with label on condition","test/src/data/models/event_test.dart","2026-04-01","passed","2026-04-01","","Event conditionSummaries","",""
"","14","pushPurchaseHistory calls router.push","test/src/features/home/logic/home_coordinator_test.dart","2026-04-01","passed","2026-04-01","","HomeCoordinator","",""
"","32","sets state to AsyncError when signInWithKakao fails","test/src/data/repositories/auth_repository_test.dart","2026-04-01","passed","2026-04-01","","AuthController.signInWithKakao","",""
"","10","myVoteCountProvider returns repository vote count","test/src/data/repositories/matching_repository_test.dart","2026-04-01","passed","2026-04-01","","MatchingRepository providers","",""
"","6","throws on error","test/src/data/repositories/party_repository_test.dart","2026-04-01","passed","2026-04-01","getEventsByPartyId","PartyRepository (events)","",""
"","153","Data tab (12) shows MinglitParticipantGauge","test/src/features/dev/design_catalog_page_test.dart","2026-04-01","passed","2026-04-01","","Widget sections render Minglit components","",""
"","26","변경 수신: Postgres callback 실행 → todayActiveEventsProvider 갱신","test/src/features/home/logic/event_realtime_provider_test.dart","2026-04-01","passed","2026-04-01","","eventRealtimeProvider","",""
"","30","(setUpAll)","test/integration/flow_ticket_application_test.dart","2026-04-01","passed","2026-04-01","","","",""
"","7","creates and returns new ticket","test/src/data/repositories/ticket_repository_test.dart","2026-04-01","passed","2026-04-01","createTicket","TicketRepository","",""
"","526","BottomTicketBar 에러 → 비활성 ""오류 발생"" 버튼","test/integration/flow_error_edge_cases_test.dart","2026-04-01","passed","2026-04-01","","AsyncError 상태","",""
"","114","State is guest when user is not logged in","test/src/features/event/admission/event_admission_controller_test.dart","2026-04-01","passed","2026-04-01","","EventAdmissionController","",""
"","10","throws on error","test/src/data/repositories/event_repository_queries_test.dart","2026-04-01","passed","2026-04-01","getEventById","EventRepository Queries","",""
"","43","no verification required → ""바로 결제로 진행해주세요"" message","test/integration/flow_ticket_application_test.dart","2026-04-01","passed","2026-04-01","","EventApplicationWizardPage","",""
"","1336","홈 → 알림 아이콘 tap → NotificationListScreen","test/integration/flow_notification_routing_test.dart","2026-04-01","passed","2026-04-01","","알림 플로우","",""
"","5","returns managed partners when permissions exist","test/src/data/repositories/partner_repository_test.dart","2026-04-01","passed","2026-04-01","getMyManagedPartners","PartnerRepository","",""
